0,theta,r
ALS2,1.41715,43.5361
ALX1,4.24371,42.7264
ALX3,4.33124,42.4889
ALX4,3.98963,45.8749
AMBN,0.930365,46.3849
AMBP,6.24616,44.9817
AMD1,5.99416,40.9414
AMFR,1.7792,41.0067
AMN1,2.07708,57.6529
AMOT,5.10957,39.5858
AMPH,3.9569,39.8529
AMTN,1.47909,43.31
AMZ1,3.46848,43.2102
AMZ2,5.64485,41.7023
ANK1,1.04511,40.5287
ANK2,1.43895,41.9015
ANK3,1.01089,41.0424
ANLN,2.46757,37.6774
ANO1,1.76715,58.6536
ANO3,1.78006,43.8666
ANO5,0.310656,58.7065
ANO6,0.261165,41.3986
ANO7,3.71947,58.443
ANO8,0.636165,58.0654
ANO9,4.41693,46.9646
AOAH,6.01379,58.2056
AOC1,4.85602,43.1663
AOC2,0.36939,44.5124
AOC3,0.365862,42.1342
APC2,4.55674,44.7767
APCS,6.17856,43.0792
APEH,1.99586,40.6642
API5,3.25779,40.883
APIP,4.69381,41.0595
APLF,3.82859,41.1884
APLN,0.905119,48.6448
APOB,0.370663,39.8097
APOD,0.387562,38.7406
APOE,6.25748,40.3452
APOF,6.23749,57.9751
APOH,6.09623,43.7309
APOM,4.44942,44.469
APRT,2.16312,41.3586
APTX,3.1819,42.9579
AQP1,5.77076,37.0578
AQP2,0.491959,40.5743
AQP3,0.574089,41.5916
AQP4,5.90136,43.1177
AQP5,5.4185,44.568
AQP6,0.554063,35.6781
AQP7,0.467407,45.6968
AQP8,0.512875,45.1553
AQP9,0.500113,41.8094
ARAF,1.69135,39.2274
AREG,5.4912,42.5088
ARF1,1.94742,39.7607
ARF3,1.94236,44.2137
ARF4,2.26185,41.6734
ARF5,0.9079,40.1618
ARF6,2.55992,37.5824
ARG1,2.41038,43.4445
ARG2,2.41013,46.4624
ARL1,1.8746,42.5467
ARL2,1.93516,42.2381
ARL3,5.95555,43.234
ARL6,1.11135,46.4133
ARNT,4.04585,40.9292
ARR3,1.3893,42.1905
ARSA,6.05612,40.5513
ARSB,6.0576,43.5216
ARSE,2.0451,46.2922
ARSF,5.01559,48.7423
ARSG,6.2364,41.4171
ARSI,5.95488,45.2288
ARSK,6.10359,41.2507
ART1,1.74107,46.8091
ART3,6.21645,41.4085
ART5,6.19561,46.3211
ARV1,0.398148,40.3487
ASB1,3.1317,45.7828
ASB2,3.12859,44.1514
ASB3,4.18773,40.8762
ASB4,4.21934,46.2946
ASB6,3.57406,40.2635
ASB7,3.56753,41.2283
ASB8,4.31875,44.0347
ASB9,3.85555,42.6971
ASIP,2.30993,46.9482
ASNS,2.33715,39.2401
ASPA,1.31303,44.4958
ASPG,4.9182,43.3387
ASPH,0.244365,38.2034
ASPM,2.95961,39.3448
ASS1,2.24395,39.2028
ASTL,6.00343,44.105
ASZ1,0.562215,44.0667
ATE1,6.05532,41.0786
ATF1,4.40132,40.5138
ATF2,4.03796,38.7642
ATF3,4.05232,41.7303
ATF4,4.44631,39.7176
ATF5,4.0857,43.2491
ATF6,0.212477,41.262
ATF7,4.03645,41.3987
ATG3,2.11782,40.9205
ATG5,2.68664,38.6586
ATG7,1.99695,39.5865
ATIC,2.31225,39.2741
ATL1,1.87263,46.696
ATL2,1.10253,40.7442
ATL3,1.05228,38.8513
ATN1,4.92036,39.8739
ATRN,6.08213,46.0318
ATRX,4.36591,40.1455
AUP1,2.12879,41.6622
AVEN,3.35567,44.1295
AVIL,2.63748,41.3004
AVL9,1.51089,43.8044
AZI2,1.46559,42.1841
AZU1,6.05901,42.6052
B9D1,0.123424,46.5648
B9D2,5.06392,43.4835
BAAT,4.74787,46.1872
BAG1,2.93144,39.0593
BAG2,2.6332,38.3221
BAG3,5.88994,37.3725
BAG4,4.79763,38.0702
BAG5,5.48477,40.8853
BAG6,1.48245,36.2359
BAK1,1.32033,40.1838
BANP,4.8377,36.7002
BAP1,4.39804,41.1262
