0,theta,r
ZNF558,4.22229,42.644
ZNF559,5.4449,44.1114
ZNF561,2.95064,46.9842
ZNF562,5.63605,42.821
ZNF563,5.65034,43.1388
ZNF564,5.5237,40.2909
ZNF565,3.57709,58.1513
ZNF566,5.22015,45.5982
ZNF567,5.86237,46.4861
ZNF569,5.31038,46.5944
ZNF571,4.98528,47.3431
ZNF572,5.22478,39.5608
ZNF573,4.61684,50.4806
ZNF574,3.78951,40.7915
ZNF575,5.44741,41.5033
ZNF576,4.65373,41.9238
ZNF578,5.40166,43.6283
ZNF579,3.68543,40.8509
ZNF580,5.48229,41.1893
ZNF581,5.43361,38.5321
ZNF582,0.818903,59.1578
ZNF586,1.22548,46.8111
ZNF587,5.43611,37.7971
ZNF589,4.10513,46.0212
ZNF592,4.30691,43.3941
ZNF593,3.67817,41.1691
ZNF594,5.02102,49.0292
ZNF595,5.49316,46.9864
ZNF596,2.91997,48.3596
ZNF597,2.98505,43.0897
ZNF598,3.31272,42.1543
ZNF599,5.57153,43.2992
ZNF600,5.49302,48.7614
ZNF606,3.96731,43.2247
ZNF607,5.48581,45.9088
ZNF608,4.91375,47.043
ZNF609,5.86005,42.483
ZNF610,5.16438,46.344
ZNF613,5.44949,45.269
ZNF614,5.84533,46.8306
ZNF616,4.61684,45.5049
ZNF618,4.65682,43.0267
ZNF620,5.00252,39.0892
ZNF621,5.49218,44.8466
ZNF622,3.40748,41.2217
ZNF623,4.96363,58.0447
ZNF624,5.47438,42.765
ZNF625,5.47649,44.4793
ZNF626,4.25808,47.2811
ZNF627,5.5551,43.5041
ZNF628,5.5694,45.1897
ZNF629,5.54121,40.7158
ZNF638,3.62443,40.4232
ZNF639,5.27174,42.7871
ZNF641,4.94522,45.3639
ZNF644,4.44889,40.3904
ZNF646,5.48843,42.6936
ZNF648,5.45479,39.4785
ZNF652,1.55132,47.4691
ZNF653,5.29207,45.3671
ZNF655,5.20233,37.259
ZNF658,4.61642,49.2293
ZNF660,5.82714,45.0459
ZNF662,4.96062,44.8981
ZNF664,5.51663,43.2685
ZNF667,5.45063,47.1823
ZNF668,3.75448,41.2489
ZNF669,5.4714,40.1486
ZNF670,5.46749,42.3247
ZNF671,3.18926,46.1324
ZNF672,5.39994,45.7501
ZNF675,1.61428,49.1888
ZNF679,5.49396,45.2485
ZNF683,4.83936,44.1787
ZNF684,5.94661,44.3296
ZNF687,4.33013,41.1531
ZNF688,5.31122,38.0705
ZNF689,3.7465,43.1713
ZNF691,5.71529,45.7151
ZNF692,3.80024,41.1355
ZNF695,4.16296,43.2674
ZNF696,5.44006,40.2533
ZNF699,4.54025,44.5763
ZNF701,4.61479,47.0797
ZNF703,4.17865,41.3335
ZNF704,4.40381,42.2585
ZNF706,4.38488,45.6339
ZNF707,3.6892,39.5711
ZNF708,4.61718,48.816
ZNF710,4.60532,47.0795
ZNF711,3.67852,48.8265
ZNF714,4.44318,47.4226
ZNF720,4.87356,47.0928
ZNF721,4.41533,44.272
ZNF724,3.78889,44.7985
ZNF726,3.56676,48.6043
ZNF732,4.6168,58.3959
ZNF738,4.61756,48.7831
ZNF740,5.60825,46.776
ZNF746,2.78663,41.9697
ZNF747,5.57331,42.6508
ZNF750,4.35558,48.3408
ZNF75A,3.73231,47.0288
ZNF761,3.99244,48.3033
ZNF763,4.237,47.366
ZNF764,5.46152,39.3887
ZNF765,4.9111,42.0105
ZNF766,4.47805,45.9589
ZNF768,5.46069,41.1687
ZNF770,3.74289,43.3111
ZNF771,3.74958,43.081
ZNF772,5.74393,47.0721
ZNF773,4.53068,46.7715
ZNF774,5.29605,38.9339
ZNF775,5.47377,42.1865
ZNF776,5.49438,58.0277
ZNF777,5.30134,42.2253
ZNF778,5.45834,46.1841
ZNF783,4.70376,44.749
ZNF784,5.54855,42.2726
ZNF785,5.57702,38.289
ZNF786,5.39865,43.1492
ZNF787,6.01267,46.4888
ZNF789,5.2183,48.2943
ZNF791,5.4876,47.2476
ZNF792,5.49498,39.5602
ZNF800,3.77138,43.2323
ZNF805,5.54083,58.0081
ZNF808,3.71402,48.4684
ZNF813,1.71105,46.6358
ZNF816,4.15736,43.064
ZNF821,5.20505,44.7465
ZNF827,0.670872,44.1256
ZNF829,4.56748,43.2837
ZNF830,3.89651,42.2288
ZNF835,5.46545,39.21
ZNF837,5.45506,38.9204
ZNF843,5.19449,44.0977
ZNF844,5.46579,43.0299
ZNF845,3.77787,45.332
ZNF846,5.45392,50.4128
ZNF852,3.19765,45.41
ZNF860,5.2886,47.3855
ZNF865,5.66629,42.761
ZNF883,5.5218,57.9802
ZNF888,3.71289,46.998
ZNHIT1,5.46306,41.6614
ZNHIT2,3.8819,41.2685
ZNHIT3,3.70919,43.2027
ZNHIT6,6.00487,41.7723
ZRANB1,5.31287,37.3594
ZRANB2,4.12324,39.2329
ZRANB3,2.03472,44.6533
ZSCAN1,5.31625,43.068
ZSCAN4,5.88494,42.8386
ZSCAN9,5.26201,43.4607
ZSWIM2,5.86697,44.2705
ZSWIM3,5.76919,47.7212
ZSWIM5,3.22107,45.3702
ZSWIM6,3.03015,45.06
ZSWIM7,5.77936,45.7041
ZSWIM8,6.02056,44.1021
ZSWIM9,3.53704,48.4812
ZWILCH,1.07711,42.9677
ZYG11A,5.54187,44.0843
ZYG11B,5.88202,40.4956
ABHD12B,0.26225,48.4558
ABHD14A,0.111139,40.7519
ABHD14B,2.24833,48.6406
ABHD16A,0.573349,39.6229
ABHD17A,5.5194,41.8584
ABHD17B,0.898638,41.9161
ADAMTS1,0.0487298,41.6018
ADAMTS2,6.12308,41.969
ADAMTS3,0.93045,49.152
ADAMTS4,6.13954,40.9977
ADAMTS5,6.14165,46.6712
ADCYAP1,5.98188,40.8532
ADIPOR1,0.277332,41.8143
ADIPOR2,0.377029,44.6331
ADORA2A,1.17606,43.3439
ADPRHL2,1.96591,43.262
AFAP1L1,4.23315,46.8251
AFAP1L2,1.55473,49.2121
AFG3L1P,2.9531,58.2343
AGTPBP1,1.36698,45.5714
AKAP17A,4.16328,40.5778
AKIRIN1,5.88827,45.1513
AKIRIN2,5.69798,40.9725
AKR1B10,2.32869,42.7354
AKR1B15,2.1998,44.1122
ALDH1A1,4.91017,46.8728
ALDH1A2,0.33875,45.9038
ALDH1A3,1.75388,44.8685
ALDH1B1,1.9404,40.6596
ALDH1L1,5.93569,46.0698
ALDH1L2,5.9668,43.0024
ALDH3A1,1.81627,42.6767
ALDH3A2,1.12233,39.769
ALDH3B1,5.36618,40.2929
ALDH3B2,1.37363,44.5674
ALDH4A1,2.21583,41.8795
ALDH5A1,1.90233,41.9765
ALDH6A1,2.1725,42.6797
ALDH7A1,2.284,40.6041
ALDH8A1,2.39993,44.5712
ALDH9A1,2.69041,44.3683
ALOX12B,5.76375,41.9701
ALOX15B,0.883671,42.5955
ALOX5AP,0.648354,43.3937
AMMECR1,5.36348,42.214
ANAPC10,4.54154,41.4416
ANAPC11,4.9881,40.391
ANAPC13,4.55372,41.043
ANAPC15,4.55942,40.3077
ANAPC16,4.54205,40.8406
ANGPTL1,1.5727,49.0449
ANGPTL2,4.30443,46.8654
ANGPTL3,5.66704,44.8065
ANGPTL4,5.59581,42.8273
ANGPTL5,0.731722,57.9786
ANGPTL7,2.78883,42.9647
ANGPTL8,5.66577,46.3011
ANKDD1A,4.39883,49.9544
ANKRD10,4.84549,42.7489
ANKRD11,5.07877,38.7182
ANKRD12,1.43836,42.7542
ANKRD16,5.85745,46.643
ANKRD17,4.29912,41.3818
ANKRD22,2.33216,58.3485
ANKRD23,5.11631,42.5705
ANKRD24,3.82378,45.4214
ANKRD26,4.66086,40.4742
ANKRD27,0.809865,42.7037
ANKRD28,4.3282,40.382
ANKRD29,4.40545,42.3971
ANKRD33,5.00452,43.4981
ANKRD35,3.0641,48.6922
ANKRD36,4.94789,43.8203
ANKRD37,4.96246,46.4484
ANKRD39,3.49752,58.2173
ANKRD40,5.91,40.821
ANKRD44,4.32535,42.3791
ANKRD45,5.54155,45.6074
ANKRD46,0.422422,38.677
ANKRD49,4.18405,43.6519
ANKRD50,5.34846,44.72
ANKRD52,4.46397,41.9544
ANKRD53,4.89212,47.479
ANKRD54,2.78327,45.9326
ANKRD55,4.88193,41.1067
ANXA2P2,2.46039,42.1562
APBB1IP,1.44389,43.645
APCDD1L,0.511433,46.6667
APOBEC1,4.56578,42.9096
APOBEC2,4.56578,58.0306
ARFGAP1,2.11419,39.8752
ARFGAP2,2.15119,42.8451
ARFGAP3,1.38968,43.218
ARFGEF1,0.964023,41.6328
ARFGEF2,0.964364,40.4873
ARFGEF3,1.03393,43.6118
ARHGAP1,2.60837,40.5314
ARHGAP4,2.20316,46.8606
ARHGAP5,1.6042,43.1351
ARHGAP8,2.38229,43.1692
ARHGAP9,4.77978,42.6234
ARHGDIA,2.22138,39.0459
ARHGDIB,2.38149,42.5761
ARHGDIG,2.39208,43.3768
ARHGEF1,1.80466,42.2527
ARHGEF2,2.60991,40.9947
ARHGEF3,5.26455,43.9264
ARHGEF4,2.34536,44.5998
ARHGEF5,4.93781,41.927
ARHGEF6,1.82547,40.2424
ARHGEF7,1.85183,39.8957
ARHGEF9,5.13542,44.2986
ARL14EP,1.06545,43.4022
ARL6IP1,0.71395,38.8026
ARL6IP4,4.12272,41.1419
ARL6IP5,0.181215,40.4978
ARL6IP6,0.477898,41.2407
ARPC3P1,2.50346,48.4566
ASPSCR1,5.64238,40.267
ATF7IP2,5.4808,46.2459
ATG16L1,1.80681,41.7797
ATG16L2,3.26014,46.2935
ATP13A1,0.587435,41.1869
ATP13A2,0.830326,38.9905
ATP13A3,0.0173481,42.9217
ATP5F1A,1.25984,39.4402
ATP5F1B,1.03264,37.9546
ATP5F1C,1.34546,39.151
ATP5F1D,1.27445,39.5152
ATP5F1E,0.752372,46.0336
ATP5IF1,1.30467,42.4411
ATP5MC1,0.0160954,43.8827
ATP5MC2,0.830326,57.9787
ATP5MC3,1.03163,44.4949
ATP5MPL,0.318407,45.3535
ATP6AP1,1.29026,41.8569
ATP6AP2,0.972576,37.8087
ATP6V0B,0.475836,41.9481
ATP6V0C,0.615564,39.43
ATP6V1A,1.97623,38.4648
ATP6V1D,1.9819,39.6317
ATP6V1F,2.82729,39.7997
ATP6V1H,1.2972,39.7493
ATXN7L1,4.8561,44.1802
ATXN7L2,5.17917,41.5056
ATXN7L3,4.18432,41.8347
B3GALT2,0.359009,43.2919
B3GALT4,2.12604,46.8771
B3GALT5,0.448404,46.2
B3GALT6,0.31573,45.1312
B3GNTL1,2.04054,58.1224
B4GALT1,0.0612707,40.5629
B4GALT2,5.75617,47.9186
B4GALT3,0.0253414,40.5401
B4GALT4,6.2438,42.6812
B4GALT5,6.13409,41.9977
B4GALT6,6.13469,45.4532
B4GALT7,6.21702,40.6574
BCDIN3D,4.31385,47.0803
BCL2L10,0.695404,43.75
BCL2L11,1.21879,39.2566
BCL2L12,2.3047,44.9996
BCL2L13,0.569162,39.8751
BCL2L14,1.95484,41.8371
BCL2L15,4.62629,43.4214
BHLHA15,3.41592,40.204
BHLHE23,5.10101,49.0994
BHLHE40,4.84017,38.9314
BHLHE41,4.37083,42.9638
BLOC1S1,4.68335,41.8814
BLOC1S2,4.96011,40.3126
BLOC1S3,5.00021,44.7254
BLOC1S4,4.68834,45.1382
BLOC1S5,4.81526,42.6848
BLOC1S6,5.00462,40.585
C11orf1,5.07427,40.8964
C12orf4,5.52146,44.6277
C1GALT1,0.49654,41.0129
C1QTNF1,4.97247,44.0863
C1QTNF2,6.04064,39.6954
C1QTNF3,6.17201,57.9701
C1QTNF4,1.08479,45.3696
C1QTNF5,1.19352,45.8183
C1QTNF6,4.58965,43.3297
C1QTNF9,6.04378,42.3923
C1orf21,1.42613,46.1152
C1orf35,4.54262,40.4248
C1orf43,0.30723,41.1717
C1orf50,4.77258,42.9198
C1orf52,3.9597,42.0901
C1orf56,4.79483,45.2203
C1orf61,4.14953,42.3475
C1orf74,4.96784,44.6176
C1orf87,2.98356,42.8767
C1orf94,4.8201,38.6127
C21orf2,4.53697,42.8849
C2orf15,2.62426,48.2913
C2orf40,0.931211,48.4559
C2orf42,4.99864,45.2314
C2orf48,6.10436,43.0414
C2orf49,3.22469,44.0178
C2orf50,4.44241,47.0493
C2orf54,2.01731,58.0363
C2orf68,5.63245,41.4764
C2orf69,4.0921,44.4096
C2orf74,0.612181,58.1331
C2orf76,5.7487,48.4386
C2orf83,4.84364,49.1189
C2orf88,5.6972,44.8847
C3orf20,5.66723,58.0052
C3orf33,1.05881,43.6345
C3orf36,4.84809,42.6887
C3orf38,4.79247,46.886
C3orf52,0.403932,38.8027
C3orf56,4.86969,48.4334
C3orf58,0.0172392,44.2245
C3orf62,4.2841,43.1581
C4orf17,5.29046,43.6807
C4orf19,2.33883,44.3524
C4orf33,4.80919,46.4086
C4orf45,4.88968,42.0166
C4orf46,5.18421,43.8865
C4orf48,5.62535,45.2834
C5orf15,0.328168,57.9998
C5orf22,6.01077,44.299
C5orf24,4.44548,41.7865
C5orf30,5.51149,42.8872
C5orf34,2.31703,42.9887
C5orf38,6.16761,47.9212
C5orf46,0.480467,42.9979
C5orf49,5.15186,45.7736
C5orf51,4.58338,45.6712
C5orf56,1.08811,46.3572
C5orf60,5.42908,44.9416
C5orf64,1.91937,46.6409
C6orf15,4.86576,45.4151
C6orf47,0.868125,43.7053
C6orf58,1.10572,45.0836
C6orf62,0.818903,59.1578
C6orf89,0.428862,46.036
C7orf25,3.20911,41.8871
C7orf26,0.989304,44.1345
C7orf31,5.0759,43.1472
C7orf43,1.92047,42.0417
C7orf50,3.63731,43.3618
C7orf57,5.20142,44.0879
C7orf69,6.05001,43.6527
C8orf33,4.22894,39.6414
C8orf34,5.30955,43.7285
C8orf48,5.44781,45.1472
C8orf58,4.44119,48.5413
C8orf59,4.58622,46.9571
C8orf74,0.36034,45.4266
C8orf82,1.95075,46.6401
C9orf16,4.49629,42.9101
C9orf24,4.9841,40.8378
C9orf40,6.01008,44.3397
C9orf43,2.59425,47.2332
C9orf57,5.00726,47.2546
C9orf64,2.13777,43.2183
C9orf72,4.25287,43.0812
C9orf78,2.94286,41.908
CABLES1,1.75157,43.5462
CABLES2,3.60001,44.4417
CACNA1A,0.861249,40.6504
CACNA1B,1.743,42.569
CACNA1C,1.61471,42.9073
CACNA1D,0.379598,47.4141
CACNA1E,0.602923,46.6703
CACNA1F,4.95716,58.0751
CACNA1H,1.19612,45.4169
CACNA1I,5.4137,48.5718
CACNA1S,4.43718,44.3634
CAMK2N1,1.61116,50.006
CAMK2N2,5.98882,46.7665
CAMSAP1,4.95522,45.5081
CAMSAP2,3.16182,42.8223
CAMSAP3,3.15134,41.9971
CAPRIN1,3.34172,44.0727
CAPRIN2,6.20912,45.9159
CARHSP1,2.08817,40.1513
CARMIL1,4.69901,43.2668
CARMIL2,2.48195,49.4137
CARNMT1,4.08836,40.3433
CASKIN1,4.39189,45.9668
CASKIN2,4.95376,46.1235
CASTOR1,2.83537,43.9276
CASTOR2,2.82445,47.2474
CASTOR3,1.89691,46.0832
CBFA2T2,4.72873,42.3147
CBFA2T3,4.72696,42.0223
CCDC103,5.76483,40.4004
CCDC105,4.76607,46.9929
CCDC106,4.43845,41.0562
CCDC107,0.64512,41.4879
CCDC110,5.74023,46.7136
CCDC112,4.99972,42.9167
CCDC113,5.83303,44.4605
CCDC114,5.00095,44.4136
CCDC115,0.883961,41.0277
CCDC116,5.60615,40.4274
CCDC117,2.78759,43.2003
CCDC120,5.18343,37.5032
CCDC121,5.02048,43.6667
CCDC122,4.74992,45.3439
CCDC124,3.32532,43.0601
CCDC125,5.5218,39.0877
CCDC126,0.58781,47.5249
CCDC127,1.10052,44.2033
CCDC130,5.56107,40.4619
CCDC134,0.188209,46.4707
CCDC136,5.58377,37.0579
CCDC137,3.76569,42.549
CCDC138,4.65499,41.9955
CCDC140,6.14039,46.6285
CCDC141,4.69869,48.5656
CCDC146,5.15607,39.1765
CCDC148,0.0205564,43.1431
CCDC149,4.12726,48.7444
CCDC150,5.03245,44.7521
CCDC151,1.87118,40.6677
CCDC152,5.05459,45.6795
CCDC153,4.6885,42.2009
CCDC155,0.588723,38.1366
CCDC157,4.26243,46.9549
CCDC158,4.77068,42.9018
CCDC167,0.559103,40.7613
CCDC168,2.72582,47.4555
CCDC170,4.4214,46.0599
CCDC172,5.16229,41.7352
CCDC173,2.06123,45.4694
CCDC174,3.22421,43.0204
CCDC179,5.84384,45.5872
CCDC183,4.7271,40.5617
CCDC184,5.29453,43.3955
CCDC185,5.26383,39.9633
CCDC186,1.59997,44.4606
CCDC187,5.28133,39.0978
CCDC189,6.15221,57.9983
CCDC191,3.18203,48.8538
CCDC196,5.11219,41.1081
CCDC197,5.09345,42.4433
CCDC198,5.2449,41.2315
CCDC28A,5.5036,43.512
CCDC28B,4.97781,44.2394
CCDC71L,3.52053,44.6433
CCDC74A,4.43833,46.9465
CCDC74B,2.89717,41.3317
CCDC85A,2.99872,45.3194
CCDC85B,5.72316,36.8655
CCDC85C,4.3954,41.7508
CCDC88A,2.3113,39.4986
CCDC88B,5.18063,40.6294
CCDC88C,2.97252,43.8426
CCDC90B,2.36586,40.7716
CCNDBP1,5.5527,37.4953
CD164L2,0.381299,43.7307
CD200R1,0.215098,42.3699
CD300LB,1.64125,49.6124
CD300LD,0.368526,58.0851
CD300LF,1.15447,46.0145
CD300LG,5.44309,44.764
CDC37L1,2.78834,43.6279
CDK2AP1,4.33043,39.5673
CDK2AP2,2.71193,42.4337
CEACAM1,1.59326,42.4336
CEACAM3,0.425792,44.3097
CEACAM5,5.92586,45.391
CEACAM6,4.89247,41.1956
CEACAM7,4.896,47.2254
CEACAM8,0.591956,45.8027
CEP170B,4.50549,43.6819
CEP57L1,5.16096,38.9019
CFAP100,5.33179,58.0414
CFAP161,4.89458,46.0061
CFAP206,5.07974,39.5367
CFAP298,2.40108,41.2245
CFAP300,3.16454,45.671
CHCHD10,4.08613,41.1283
CHORDC1,2.96466,40.3007
CIAPIN1,2.60922,40.0908
CLEC10A,0.484262,41.6428
CLEC11A,5.66505,40.0573
CLEC12A,0.670204,40.818
CLEC12B,0.546163,43.6773
CLEC14A,0.615291,42.1458
CLEC16A,5.7026,46.5082
CLEC17A,0.501178,42.2398
CLEC18A,5.36713,42.8062
CLEC19A,2.73457,58.0957
CLPTM1L,1.32582,42.0071
CNEP1R1,0.219668,58.1303
CNTNAP1,6.00936,42.5718
CNTNAP2,3.92266,44.3749
CNTNAP3,6.0873,40.6811
CNTNAP4,5.6223,46.1331
COL10A1,6.16488,42.3658
COL11A1,4.34307,58.2023
COL11A2,3.00134,45.0205
COL12A1,6.12653,45.1101
COL13A1,1.46465,58.0098
COL14A1,6.04112,40.7722
COL16A1,5.05792,48.8627
COL17A1,2.50935,42.1319
COL18A1,6.13038,41.558
COL20A1,5.13481,43.8571
COL23A1,0.0665428,48.2907
COL24A1,5.94557,47.7432
COL25A1,6.01135,47.1831
COL26A1,1.83367,45.8626
COLEC10,6.21008,42.784
COLEC11,6.04864,42.625
COLEC12,0.154566,40.7714
COMMD10,1.96447,41.5029
COX7A2L,1.28417,44.1081
CPLANE2,2.09389,44.6895
CRACR2A,5.02752,40.4566
CRACR2B,5.13661,42.7706
CREB3L1,0.495394,36.8044
CREB3L2,0.0377734,44.7997
CREB3L3,0.474526,41.9548
CREB3L4,0.602824,47.4225
CROCCP2,4.45386,45.1292
CSNK1A1,1.69904,37.7749
CSNK1G1,1.4165,40.295
CSNK1G2,1.80309,39.7123
CSNK1G3,1.41981,40.0211
CSNK2A1,4.05117,34.1414
CSNK2A2,4.04055,35.9912
CSNK2A3,4.06923,48.9674
CT45A10,4.52406,44.5711
CTDNEP1,0.219668,41.8053
CTDSPL2,3.56043,42.8709
CTNNAL1,4.61789,42.9458
CTNNBL1,4.23012,40.6726
CTTNBP2,5.08277,43.1923
CWF19L1,3.87806,43.2524
CWF19L2,5.20223,38.3752
CXorf21,0.327407,57.9819
CXorf38,4.74793,45.0776
CXorf56,4.15576,43.5837
CXorf57,4.42142,46.9141
CXorf58,0.16534,48.2219
CXorf66,0.540461,43.5835
CXorf67,5.26981,45.0774
CYP11A1,2.70945,52.6378
CYP11B2,2.70945,52.6001
CYP17A1,0.898058,45.3709
CYP19A1,6.15842,44.471
CYP20A1,0.849058,45.0186
CYP21A2,5.38624,42.5333
CYP24A1,5.55759,45.7913
CYP27A1,1.33734,44.7548
CYP27C1,0.0447734,47.8999
CYP2A13,1.13566,57.5824
CYP2C18,0.0348626,44.5374
CYP2C19,0.0715721,58.0087
CYP39A1,1.11509,58.1098
CYP4F11,5.98341,47.8182
CYP4F12,0.485798,44.8634
CYP4F22,0.590678,46.0589
CYP51A1,0.219286,42.1874
CYSLTR1,5.39728,58.0515
CYSLTR2,5.39728,46.9094
DCAF4L1,3.52485,45.7175
DCAF4L2,3.49406,44.7902
DCAF8L1,3.47755,48.5058
DCLRE1A,3.67194,45.2246
DCLRE1B,3.13479,41.8307
DCLRE1C,4.48203,40.9059
DCSTAMP,0.601566,48.0978
DCUN1D1,5.87948,40.2316
DCUN1D2,3.54108,48.8955
DCUN1D3,3.1332,46.989
DCUN1D4,3.17319,44.7802
DCUN1D5,0.684947,41.861
DDX11L8,3.11011,46.2873
DEFB112,5.35892,46.4127
DEFB115,1.07659,46.5995
DEFB118,5.62419,47.8443
DEFB121,0.152753,41.9858
DEFB124,4.51663,47.4234
DEFB127,2.72919,41.77
DEFB128,0.520947,49.1916
DEFB129,0.392891,58.0803
DEFB132,0.513699,49.255
DENND1A,2.43794,43.4337
DENND1B,6.26862,46.5461
DENND1C,4.48688,48.7825
DENND2A,1.7499,48.7824
DENND2C,1.52487,46.4182
DENND2D,4.21184,41.3815
DENND4A,1.94853,43.3575
DENND4B,4.6602,58.1548
DENND4C,3.69903,45.3379
DENND5A,3.43225,45.2379
DENND5B,1.7327,45.9592
DENND6A,0.832998,40.0543
DEPDC1B,5.60784,58.1188
DGAT2L6,0.404942,39.987
DHRS4L2,1.94154,44.5117
DNAJB11,5.96046,39.2974
DNAJB12,2.52485,46.0488
DNAJB13,4.71535,43.1817
DNAJB14,2.14192,45.4655
DNAJC10,5.75218,41.2456
DNAJC11,1.12567,39.85
DNAJC12,1.8078,42.4501
DNAJC13,0.766087,40.383
DNAJC14,1.1387,44.7055
DNAJC15,5.84509,46.8355
DNAJC16,0.177408,44.2975
DNAJC17,2.30739,43.0047
DNAJC18,0.228044,42.1701
DNAJC19,0.305899,41.6074
DNAJC21,3.31207,45.0496
DNAJC22,5.74746,50.0052
DNAJC24,4.3781,58.0345
DNAJC25,2.7597,58.0659
DNAJC27,4.41076,49.0115
DNAJC28,1.27538,45.0469
DNAJC30,0.604107,40.6896
DNAJC5B,4.4093,49.5196
DNASE2B,6.04831,40.2934
DNTTIP1,3.92439,41.7911
DNTTIP2,3.74647,42.872
DPEP2NB,5.74066,43.3434
DPY19L1,0.174163,42.7002
DPY19L2,0.715352,57.8155
DPY19L3,6.27145,43.763
DPY19L4,0.17037,43.0799
DYNC1H1,2.62781,38.5506
DYNC1I1,2.62869,40.7516
DYNC1I2,3.32002,40.0681
DYNC2H1,1.99039,41.4771
DYNLRB1,2.63312,40.572
DYNLRB2,3.3266,48.1062
EDARADD,4.19409,43.2916
EEF1DP3,2.70335,58.0641
EEF2KMT,5.70975,41.6588
EFCAB11,2.25354,46.1414
EFCAB12,4.64421,58.133
EFCAB14,0.642067,48.7306
EHBP1L1,3.63889,43.9258
EIF2AK1,2.84261,44.1969
EIF2AK2,2.82789,38.8764
EIF2AK3,0.0653094,40.0211
EIF2AK4,3.26455,41.3097
EIF4E1B,3.0692,48.763
EIF5AL1,2.2465,43.7077
ELMSAN1,3.91941,41.0681
ELSPBP1,4.17564,43.861
EMILIN1,4.56309,39.5693
EMILIN2,5.6166,43.1635
EMILIN3,6.1435,42.2421
EP400P1,4.28164,45.5727
EPB41L1,2.94222,40.2854
EPB41L2,4.21274,40.3561
EPB41L3,3.92253,41.6517
EPB41L5,4.19047,39.7374
EPS15L1,1.08547,40.7875
ERCC6L2,5.31019,47.5662
ERVK3-1,4.79763,58.122
ETFBKMT,1.97446,45.7129
EXOC3L1,4.93507,44.4358
EXOC3L2,1.21979,43.6084
EXOSC10,3.84828,41.5473
FAAP100,4.48274,40.6404
FAM102A,4.81733,43.8384
FAM102B,3.1491,44.5907
FAM104A,2.41949,46.2703
FAM104B,4.8278,48.6925
FAM107A,5.57994,40.1251
FAM107B,4.21411,48.585
FAM110A,5.47763,39.5222
FAM110B,5.15417,44.8859
FAM110C,3.16667,46.8583
FAM110D,3.01453,49.209
FAM111A,3.58786,46.029
FAM111B,1.77992,43.6407
FAM117A,5.04053,49.9809
FAM117B,4.77321,42.1058
FAM118A,4.64002,42.6439
FAM118B,1.07115,39.7525
FAM120A,3.62627,41.3343
FAM120B,3.80015,44.2842
FAM120C,2.56683,45.0166
FAM122A,4.22571,43.0938
FAM122B,4.16784,42.9753
FAM124A,5.16748,41.3309
FAM124B,5.34055,39.3272
FAM126A,0.847866,42.3899
FAM126B,4.76819,45.124
FAM129A,2.7901,44.781
FAM129B,1.99851,41.5974
FAM129C,5.8898,46.9553
FAM131A,1.45563,58.3433
FAM131B,1.11759,40.8031
FAM131C,5.60181,43.0896
FAM133A,4.54577,42.0016
FAM133B,3.86641,46.876
FAM135B,4.31341,47.1513
FAM136A,4.18089,40.0369
FAM151B,5.01045,58.0135
FAM153A,5.56084,45.7242
FAM153B,5.56139,41.6563
FAM153C,5.56139,58.0529
FAM156A,4.24512,46.9842
FAM156B,5.04564,44.6835
FAM161A,5.17235,37.4882
FAM161B,5.14818,39.2081
FAM162A,1.14248,41.5393
FAM163A,3.01461,44.4642
FAM163B,1.08209,49.8425
FAM166A,4.93605,45.6
FAM166B,5.0882,41.9722
FAM167A,4.5864,39.8775
FAM168A,4.85373,39.1499
FAM168B,4.86484,40.0435
FAM169A,5.75659,45.6851
FAM170A,4.17976,42.7397
FAM171B,0.229209,43.8625
FAM172A,2.05268,44.2164
FAM173A,4.9674,41.6662
FAM173B,5.72578,48.6825
FAM174A,0.635404,38.5961
FAM178B,1.91527,57.9761
FAM180B,0.629694,58.2107
FAM184A,5.03218,45.0
FAM185A,4.98754,48.8876
FAM187A,4.87473,42.5921
FAM187B,0.0897788,42.6989
FAM189B,0.224535,38.3967
FAM192A,3.05659,40.7263
FAM193A,3.59546,48.5517
FAM193B,5.03967,43.7457
FAM196A,5.96988,40.4783
FAM198A,6.09513,45.6963
FAM199X,3.19369,43.9974
FAM19A1,1.42196,45.1538
FAM19A3,4.22817,39.124
FAM19A4,6.10842,39.7346
FAM200A,4.09306,46.1717
FAM204A,4.72063,44.2923
FAM206A,4.78304,43.8711
FAM207A,5.79118,42.4901
FAM208A,4.3442,42.3227
FAM208B,5.06029,39.6629
FAM209A,0.514433,36.4566
FAM210A,0.484605,46.3468
FAM210B,0.576171,39.2585
FAM213A,0.0991212,41.7647
FAM213B,2.61183,43.6906
FAM214A,5.26593,44.5347
FAM214B,5.03645,39.419
FAM216A,4.16665,48.4191
FAM217A,5.14242,49.8478
FAM217B,4.93799,41.2078
FAM218A,6.16764,46.4598
FAM219A,3.65278,41.0105
FAM219B,3.0517,43.3679
FAM220A,5.06257,47.0261
FAM221A,5.47971,42.0467
FAM221B,5.18986,41.8294
FAM222A,4.89066,44.4398
FAM222B,4.8462,41.1356
FAM228A,5.13738,42.3114
FAM229B,5.64331,46.6743
FAM234A,6.14549,45.6797
FAM234B,0.265733,39.7988
FAM241A,0.115267,41.7805
FAM241B,0.259261,40.2169
FAM27E3,5.45114,44.4701
FAM35BP,4.64878,48.5722
FAM45BP,1.95476,44.3113
FAM71E2,5.47072,45.5066
