source	target
ZNF410	ZNF24
ZNF410	BANP
ZNF410	HOXB2
ZNF410	PDE4DIP
ZNF410	PRKAR1B
ZNF410	GOLGA6L9
ZNF410	CSNK2B
ZNF410	KRT40
ZNF410	DPEP2NB
NEUROG1	TCF4
COX4I2	CYCS
ASGR1	CERS2
ASGR1	PLVAP
ASGR1	PTPN2
ASGR1	ABAT
ASGR1	ASGR2
ASGR1	FCGR1A
ASGR1	SUSD3
ASGR1	CREB3L1
ASGR1	PDZK1IP1
ASGR1	GPX8
ASGR1	CPLX4
ASGR1	BLCAP
ASGR1	NEMP1
ASGR1	FNDC9
ASGR1	AMIGO1
ASGR1	CLDN7
ASGR1	MCEMP1
ASGR1	AHNAK2
ASGR1	TMX2
ASGR1	LEUTX
ASGR1	KIR2DL3
HIST1H2BJ	FGA
HIST1H2BJ	FGB
HIST1H2BJ	FGG
HIST1H2BJ	HBB
HIST1H2BJ	USP48
HIST1H2BJ	HBA2
HIST1H2BJ	MDM2
HIST1H2BJ	NCKAP1
HIST1H2BJ	SPANXN2
IMPA2	IMPA1
IMPA2	DUT
IMPA2	ARHGDIA
IMPA2	RDX
IMPA2	PABPC4
IMPA2	GPX4
IMPA2	FSCN1
IMPA2	MSN
IMPA2	ITPA
IMPA2	PDCD6
IMPA2	SCPEP1
IMPA2	SLC44A3
UBXN11	WASF1
UBXN11	TRMT61B
UBXN11	RTEL1
UBXN11	PDE7A
UBXN11	NCKAP1
UBXN11	HSPA7
UBXN11	COLGALT2
UBXN11	CYFIP2
UBXN11	CYFIP1
UBXN11	COL1A1
UBXN11	ABI2
UBXN11	ABI1
UBXN11	PRR35
UBXN11	PPM1K
UBXN11	PRPF18
UBXN11	IL16
UBXN11	WDR25
UBXN11	TCEANC
UBXN11	C14orf119
UBXN11	HGS
UBXN11	ZGPAT
FCRL2	METAP2
FCRL2	JAGN1
FCRL2	MAL
FCRL2	ZDHHC22
MKL1	SRF
HCN2	HCN1
ALG10B	ATP5F1B
ALG10B	NPLOC4
ALG10B	TRAFD1
TOR1AIP2	RBPMS
TOR1AIP2	SH3BP4
TOR1AIP2	MCU
TOR1AIP2	ACSL4
TOR1AIP2	MTCH1
TOR1AIP2	C17orf80
TOR1AIP2	FPGS
TOR1AIP2	SLC16A10
TOR1AIP2	ITPA
TOR1AIP2	SLC20A2
TOR1AIP2	SLC25A16
TOR1AIP2	RAD21
TOR1AIP2	INTS7
TOR1AIP2	GALNT11
TOR1AIP2	MYO1D
TOR1AIP2	ZNF146
TOR1AIP2	RPL23
TOR1AIP2	NSUN3
TOR1AIP2	SLC38A10
TOR1AIP2	TMEM223
TOR1AIP2	POMGNT1
TOR1AIP2	SLC10A7
TOR1AIP2	PXYLP1
TOR1AIP2	ABHD17B
TOR1AIP2	TUBGCP4
TOR1AIP2	NDUFA1
TOR1AIP2	SLC25A30
TOR1AIP2	POP4
TOR1AIP2	TIMM29
TOR1AIP2	RPP38
TOR1AIP2	EXT1
TOR1AIP2	SLC25A14
TOR1AIP2	GNL3L
TOR1AIP2	XRCC3
TOR1AIP2	MTFP1
TOR1AIP2	MGAT2
TOR1AIP2	RBM15
TOR1AIP2	TUBB8
TOR1AIP2	SAMD1
FAM129A	FHL2
FAM129A	FOXK1
FAM129A	POLD2
TBCK	SAFB
TBCK	TAF1C
TBCK	FAM20B
TBCK	SLC25A12
TBCK	CRYZL1
TBCK	TPM4
TBCK	ZCCHC8
TBCK	KLHL7
TBCK	GATD1
TBCK	C12orf4
FRA10AC1	CCDC155
FRA10AC1	TRIM41
FRA10AC1	EEF1D
FRA10AC1	ADPRHL2
FRA10AC1	C7orf25
FRA10AC1	GDPD2
FRA10AC1	PLPPR4
FRA10AC1	GLRX3
FRA10AC1	VPS29
FRA10AC1	GATD3A
FRA10AC1	HABP4
FRA10AC1	MAP3K12
FRA10AC1	CLIC1
FRA10AC1	MOB2
ABI3BP	ABI3
CASP2	CRADD
CASP2	RAI1
CASP2	EEF1A1
CASP2	RXRA
CASP2	AIFM1
CASP2	BID
CASP2	KPNA2
CASP2	CASP7
CASP2	DIABLO
CASP2	TRAF2
CASP2	GOLGA3
CASP2	CYCS
CASP2	CASP8
CASP2	RIPK1
CASP2	PRKAB2
CASP2	BAG4
RAD51D	XRCC2
RAD51D	KRT15
RAD51D	IKZF1
RAD51D	C1orf94
RAD51D	CEP57L1
RAD51D	LNX1
RAD51D	LZTS2
RAD51D	KIFC3
RAD51D	PRDM14
RAD51D	IKZF3
RAD51D	AMOTL2
RAD51D	RADIL
RAD51D	DCD
RAD51D	ICMT
RAD51D	WDR19
RAD51D	BRIP1
RAD51D	MKS1
RAD51D	XRCC3
RAD51D	ZNF774
RAD51D	TCF4
ASS1	SPR
ASS1	GIT2
ASS1	DLD
ASS1	DPP3
ASS1	HSPA9
ASS1	NANS
ASS1	NHLRC2
ASS1	RPL23
ASS1	TNFAIP8
ASS1	PRDX2
ASS1	RUVBL2
ASS1	STIP1
ASS1	TXN
ASS1	ADK
ASS1	ALDOA
ASS1	PDCD6IP
ASS1	TAGLN2
ASS1	TKT
ASS1	ARHGDIA
ASS1	PFKL
ASS1	KPNA2
ASS1	PC
ASS1	SIRT3
ASS1	ELN
POLG	POLG2
POLG	SSBP1
POLG	DNAJA3
NPFF	NPFFR1
NPFF	NPFFR2
NPFF	NPY
FSHB	FSHR
CCDC197	SKA1
CCDC197	KRT3
CCDC197	CCHCR1
PPP1R12A	PRKG1
PPP1R12A	MPRIP
PPP1R12A	SIAH2
PPP1R12A	PPP1CB
PPP1R12A	RHOA
PPP1R12A	AARSD1
PPP1R12A	ACTR3
PPP1R12A	ARPC2
PPP1R12A	CUL1
PPP1R12A	P3H1
PPP1R12A	NRDC
PPP1R12A	NSUN2
PPP1R12A	NUDT5
PPP1R12A	NUSAP1
PPP1R12A	OSGEP
PPP1R12A	PFDN1
PPP1R12A	PFDN5
PPP1R12A	PUS1
PPP1R12A	RPA1
PPP1R12A	TPP2
PPP1R12A	TRIM47
PPP1R12A	TTLL12
PPP1R12A	PPP1R12B
PPP1R12A	SPECC1L
PPP1R12A	UACA
PPP1R12A	PPP1R12C
PPP1R12A	TRIOBP
PPP1R12A	METTL17
PPP1R12A	RAI14
PPP1R12A	TRPM2
PPP1R12A	CLTCL1
PPP1R12A	TRDMT1
PPP1R12A	KDM1A
PPP1R12A	YWHAZ
MTNR1A	RGS20
MTNR1A	GNAI2
MTNR1A	GNAI3
MTNR1A	GNAQ
MTNR1A	MAPK1
MTNR1A	MTNR1B
MTNR1A	CYSRT1
MTNR1A	KRTAP1-3
ING2	SIN3B
ING2	ARID4B
ING2	SAP130
ING2	HDAC1
ING2	CENPH
ING2	BRMS1L
ING2	SUDS3
ING2	ARID4A
ING2	SAP30L
ING2	SIN3A
ING2	TARSL2
ING2	BRMS1
ING2	BAHCC1
ING2	PCM1
ING2	AHNAK
ING2	HDAC2
ING2	TP53
ING2	EP300
ING2	COPS2
