"DRH ID code","Outcome","MolecularWeight","MonoisotopicMass","ExactMass","XLogP","TPSA","Complexity","Charge","HBondDonorCount","HBondAcceptorCount","RotatableBondCount","HeavyAtomCount","IsotopeAtomCount","AtomStereoCount","DefinedAtomStereoCount","UndefinedAtomStereoCount","BondStereoCount","DefinedBondStereoCount","UndefinedBondStereoCount","CovalentUnitCount","Volume3D","XStericQuadrupole3D","YStericQuadrupole3D","ZStericQuadrupole3D","FeatureCount3D","FeatureAcceptorCount3D","FeatureDonorCount3D","FeatureAnionCount3D","FeatureCationCount3D","FeatureRingCount3D","FeatureHydrophobeCount3D","ConformerModelRMSD3D","EffectiveRotorCount3D","ConformerCount3D"
"BRD-K56047318","No-Effect","394.5","394.25800558","394.25800558","3.5","101","484","0","2","6","11","28","0","0","0","0","0","0","0","1","311.9","17.47","8.22","2.15","9","4","2","0","0","2","1","1.4","15","10"
"BRD-K27335680","No-Effect","284.22","284.03208797","284.03208797","2.2","112","487","0","3","6","1","21","0","0","0","0","0","0","0","1","204.5","8.82","2.71","0.59","10","4","2","1","0","3","0","0.6","1","1"
"BRD-K67772619","No-Effect","284.26","284.06847348","284.06847348","3","83.8","448","0","2","5","1","21","0","0","0","0","0","0","0","1","211.7","9.42","2.67","0.59","8","3","2","0","0","3","0","0.6","1","1"
"BRD-K47169076","No-Effect","345.4","345.12391741","345.12391741","2.5","87.1","670","1","2","4","3","26","0","0","0","0","0","0","0","1","267.4","5.57","5.38","2.04","10","3","2","0","1","4","0","0.6","3","4"
"BRD-K79555887","No-Effect","361.6","359.983525","359.983525","3.1","49.8","520","0","0","4","2","22","0","0","0","0","0","0","0","1","245.6","11.94","3","0.91","7","3","0","0","1","3","0","0.6","3.4","10"
"BRD-K60369935","No-Effect","244.2","244.0807695","244.0807695","-1.8","144","304","0","4","7","3","17","0","4","4","0","0","0","0","1","169.5","7.02","2.49","0.85","13","5","4","0","2","2","0","0.6","4","10"
"BRD-K49313711","No-Effect","152.15","152.06847348","152.06847348","-2.5","101","76","0","5","5","4","10","0","2","2","0","0","0","0","1","110.5","4.01","1.38","0.92","10","5","5","0","0","0","0","0.6","4","10"
"BRD-K36788280","No-Effect","434.5","434.25425761","434.25425761","2.2","91.2","636","0","2","7","5","32","0","0","0","0","0","0","0","1","334.3","25.77","3.26","0.98","11","1","2","0","3","5","0","1","8.2","10"
"BRD-K92760278","No-Effect","376.4","376.13828437","376.13828437","-1.5","155","680","0","5","7","5","27","0","3","3","0","0","0","0","1","273","8.35","6.53","1.16","16","7","6","0","0","3","0","0.8","5","10"
"BRD-K74227494","No-Effect","656.7","656.30574361","656.30574361","4.1","179","1230","0","1","11","21","47","0","3","3","0","0","0","0","1","","","","","","","","","","","","","","0"
"BRD-K55188888","No-Effect","454.5","454.22749329","454.22749329","-6.3","262","593","0","10","14","6","31","0","14","14","0","0","0","0","1","315.9","9.6","4.13","2.33","27","10","10","0","4","3","0","1","9.4","10"
"BRD-K01826536","No-Effect","454.5","454.22749329","454.22749329","-6.3","262","593","0","10","14","6","31","0","14","14","0","0","0","0","1","315.9","11.15","4.06","1.71","27","10","10","0","4","3","0","1","9.4","10"
"BRD-K33682646","No-Effect","298.5","298.25079494","298.25079494","5.7","57.5","261","0","2","3","15","21","0","1","1","0","1","1","0","1","259.9","9.64","5.23","1.52","7","3","1","1","0","0","2","1.4","15","10"
"BRD-K77897005","No-Effect","388.4","388.14364454","388.14364454","3.9","83.1","524","0","2","4","3","30","0","0","0","0","0","0","0","1","301.6","29.13","3.13","0.69","12","2","2","0","2","6","0","0.8","3","4"
"BRD-K31484631","No-Effect","847","846.44150881","846.44150881","4.7","209","2110","0","5","14","5","61","0","9","9","0","3","3","0","1","","","","","","","","","","","","","","0"
"BRD-K01507359","No-Effect","822.9","822.4051233","822.4051233","4.9","220","1620","0","6","15","5","59","0","9","9","0","4","4","0","1","","","","","","","","","","","","","","0"
"BRD-K38512030","No-Effect","697.8","697.30982593","697.30982593","4.9","201","1330","0","6","12","3","50","0","9","9","0","3","3","0","1","521.6","11.58","6.15","3.07","17","8","6","0","0","3","0","1","5.2","1"
"BRD-K66048476","No-Effect","697.8","697.30982593","697.30982593","4.9","201","1330","0","6","12","3","50","0","9","9","0","3","3","0","1","521.6","11.58","6.15","3.07","17","8","6","0","0","3","0","1","5.2","1"
"BRD-K28346421","No-Effect","877","876.45207349","876.45207349","6.7","220","1730","0","6","15","6","63","0","9","9","0","4","4","0","1","","","","","","","","","","","","","","0"
"BRD-K53484294","No-Effect","785.9","785.35235945","785.35235945","6.9","198","1590","0","5","12","3","57","0","9","9","0","3","3","0","1","","","","","","","","","","","","","","0"
"BRD-K00004676","No-Effect","735.8","735.25540407","735.25540407","8.1","78.4","1200","0","0","11","12","52","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","0"
"BRD-K01825586","No-Effect","179.3","179.167399674","179.167399674","2.6","26","180","0","1","1","1","13","0","1","1","0","0","0","0","1","138.9","3.39","1.56","1.37","6","0","1","0","1","4","0","0.6","2.2","1"
"BRD-K55781385","No-Effect","534.6","534.2190951","534.2190951","2.3","114","891","0","2","8","4","39","0","3","3","0","0","0","0","1","396","23.52","4.42","1.77","13","4","2","0","1","6","0","1","7.2","10"
"BRD-K00004645","No-Effect","333.4","333.04531293","333.04531293","-0.3","167","638","0","2","5","3","21","0","0","0","0","0","0","0","1","228.2","6.79","3.09","1.41","9","5","3","0","0","1","0","0.6","4","10"
"BRD-K31627533","No-Effect","370.5","370.25079494","370.25079494","3.5","54.4","749","0","1","3","2","27","0","8","8","0","0","0","0","1","295.6","11.75","2.59","1.45","9","3","1","0","0","4","1","0.8","3.4","2"
"BRD-K13296708","No-Effect","463.8","462.078094","462.078094","6.5","50.2","583","0","1","3","4","30","0","0","0","0","0","0","0","1","336.7","15.73","4.84","1.49","7","2","1","0","0","4","0","0.8","6.2","10"
"BRD-K84783599","No-Effect","422.4","422.16150004","422.16150004","1.6","138","618","0","2","9","5","31","0","0","0","0","0","0","0","1","311.9","17.12","3.77","1.5","12","3","2","0","3","4","0","0.8","6","10"
"BRD-K36379990","No-Effect","367.3","367.12312903","367.12312903","3.3","73.9","591","0","1","8","7","26","0","0","0","0","0","0","0","1","272.5","4.64","4","2.83","7","3","1","0","1","2","0","0.8","7.4","10"
"BRD-K48963429","No-Effect","487.8","487.7267","487.7267","3.2","40.5","130","0","2","2","0","11","0","0","0","0","0","0","0","1","166.8","4.16","3.8","0.69","6","0","2","0","0","1","3","0.4","0","1"
