broad_id,InChIKey,Target,TTD Target
BRD-K85767870,UDMBCSSLTHHNCD-KQYNXXCUSA-N,"ACSL1, ACSS1, ACSS2, ADCY1, ADK, CREB1, FBP1, HINT1, PDE4B, PDE4D, PIM1, PRKAA1, PRKAB1, PRKAB2, PYGL, TRPM4","PRKAA1; PRKAB1; PRKAG1, P2RY11, P2RY1, FBP1; FBP2, P2RY2, TRPM2, SRC, LDHA, ADORA1"
BRD-K00003709,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,"ABCA1, ABCB1, ABCB11, ABCC2, ABCC8, ABCC9, ABCG1, ABL1, ABL2, ACSL1, ACSS1, ACSS2, ACVR1, ACVR1B, ACVRL1, ADCY1, ADRBK1, ADRBK2, AFG3L2, AKT1, ALK, AMHR2, APAF1, ARAF, ASNA1, ASNS, ASS1, CDK15, GPR17, ITPR1, NAE1, NT5C2, P2RY1, P2RY11, P2RY13, P2RY2, P2RY4, PRKAA1, RYR1, RYR2, RYR3, SLC25A4, TNK2, TRPM4, TRPM7","P2RX3, P2RY12, HSP90AA1, P2RY11, P2RX7, P2RY1, HSP90AB1, P2RX1, P2RY4, P2RY2, MAPKAPK2, P2RX4, P2RY6"
BRD-K60907894,JGOAIQNSOGZNBX-UHFFFAOYSA-N,CHRNA1,
BRD-K10656395,WNLRTRBMVRJNCN-UHFFFAOYSA-N,SLC22A6,
BRD-K68810443,SHHUPGSHGSNPDB-UHFFFAOYSA-N,"ADIPOR1, ADIPOR2",
BRD-K39624409,OPIKUXLJQFYMSC-UHFFFAOYSA-N,OPRD1,
BRD-K00003302,FASLTMSUPQDLIB-MHZLTWQESA-N,,
BRD-K34870043,IUVSEUFHPNITEQ-UHFFFAOYSA-N,"DRD2, HTR1A","HTR7, HTR1A, DRD3, DRD2, HTR2B, DRD4, HTR2A"
BRD-A90926615,CGNMLOKEMNBUAI-HXUWFJFHSA-N,,
BRD-K82343404,PZMVOUYYNKPMSI-UHFFFAOYSA-N,ADRA1A,
BRD-K17368287,RZRPTBIGEANTGU-IRIMSJTPSA-N,"HSD11B1, HSD11B2",
BRD-K77911775,MEDCLNYIYBERKO-UHFFFAOYSA-N,GRM5,
BRD-K56543881,VXQCCZHCFBHTTD-HNNXBMFYSA-N,GRM5,
BRD-K40718343,OONFNUWBHFSNBT-HXUWFJFHSA-N,"EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR","YES1, KDR, FLT1, EGFR, RET, EGFR"
BRD-K77634909,MQUYTXDAVCOCMX-UHFFFAOYSA-N,,
BRD-K53205568,CBQJSKKFNMDLON-JTQLQIEISA-N,DRD2,
BRD-K00003330,UAHFGYDRQSXQEB-LEBBXHLNSA-N,,
BRD-K66175015,ULXXDDBFHOBEHA-CWDCEQMOSA-N,"EGFR, ERBB2, ERBB4","CTSC, EGFR, ERBB2, EGFR"
BRD-K04210847,TXUZVZSFRXZGTL-QPLCGJKRSA-N,"ESR1, ESR2, ESRRG, PLD1, PRKCD, PRKCE, PRKCQ, PRKCZ","CYP19A1, ESR1"
BRD-K69247067,VDOSWXIDETXFET-UHFFFAOYSA-N,,
BRD-K23791635,QXTWSUQCXCWEHF-JXMROGBWSA-N,,
BRD-K37793595,WWNUCVSRRUDYPP-UHFFFAOYSA-N,,
BRD-K47816470,JWCUSQCZMQIBMR-UHFFFAOYSA-N,SORT1,
BRD-K08310154,ABBADGFSRBWENF-UHFFFAOYSA-N,IGF1R,
BRD-K00615600,SEKJSSBJKFLZIT-UHFFFAOYSA-N,PARP1,
BRD-K47105409,TUCIOBMMDDOEMM-RIYZIHGNSA-N,"EGFR, JAK2, JAK3","TDP1, EGFR, JAK1, ERBB2, EGFR, JAK2"
BRD-K34428485,GSQOBTOAOGXIFL-LFIBNONCSA-N,CDK2,
BRD-K81048131,GWCNJMUSWLTSCW-SFQUDFHCSA-N,,
BRD-A56371469,FNYGWXSATBUBER-AREMUKBSSA-N,IDH1,
BRD-K04691817,CCAWRGNYALGPQH-UHFFFAOYSA-N,IDH2,
BRD-A78111609,MSHZHSPISPJWHW-FRDQJGBZSA-N,METAP2,
